SERIAL,HOLE,DEPTH,Depth_From,Depth_To,Sample_type
1980204,SUK7_1050_003_001_RC,10.5,0.0,2.5,Assay
1980205,SUK7_1050_003_001_RC,10.5,2.5,5.0,Assay
1980206,SUK7_1050_003_001_RC,10.5,5.0,7.5,Assay
1980207,SUK7_1050_003_001_RC,10.5,7.5,10.5,Assay
1950202,SUK7_1050_003_002_RC,20.0,0.0,2.5,Assay
1950203,SUK7_1050_003_002_RC,20.0,2.5,5.0,Assay
1950204,SUK7_1050_003_002_RC,20.0,5.0,7.5,Assay
1950205,SUK7_1050_003_002_RC,20.0,7.5,10.0,Assay
1950206,SUK7_1050_003_002_RC,20.0,10.0,12.5,Assay
1950207,SUK7_1050_003_002_RC,20.0,12.5,15.0,Assay
1950208,SUK7_1050_003_002_RC,20.0,15.0,17.5,Assay
1950209,SUK7_1050_003_002_RC,20.0,17.5,20.0,Assay
20,SUK7_1050_003_003_RC,21.0,0.0,2.5,Assay
21,SUK7_1050_003_003_RC,21.0,2.5,5.0,Assay
22,SUK7_1050_003_003_RC,21.0,5.0,7.5,Assay
23,SUK7_1050_003_003_RC,21.0,7.5,10.0,Assay
24,SUK7_1050_003_003_RC,21.0,10.0,12.5,Assay
25,SUK7_1050_003_003_RC,21.0,12.5,15.0,Assay
26,SUK7_1050_003_003_RC,21.0,15.0,17.5,Assay
27,SUK7_1050_003_003_RC,21.0,17.5,20.0,Assay
28,SUK7_1050_003_003_RC,21.0,20.0,21.0,Assay
28A,SUK7_1050_003_003_RC,21.0,20.0,21.0,LS
28B,SUK7_1050_003_003_RC,21.0,20.0,21.0,RS
28C,SUK7_1050_003_003_RC,21.0,20.0,21.0,PULP
28E,SUK7_1050_003_003_RC,21.0,20.0,21.0,GBLANK
28D,SUK7_1050_003_003_RC,21.0,20.0,21.0,STD005
154656,SUK7_1050_003_004_RC,25.0,0.0,2.5,Assay
154657,SUK7_1050_003_004_RC,25.0,2.5,5.0,Assay
154658,SUK7_1050_003_004_RC,25.0,5.0,7.5,Assay
154659,SUK7_1050_003_004_RC,25.0,7.5,10.0,Assay
154660,SUK7_1050_003_004_RC,25.0,10.0,12.5,Assay
154661,SUK7_1050_003_004_RC,25.0,12.5,15.0,Assay
154662,SUK7_1050_003_004_RC,25.0,15.0,17.5,Assay
154663,SUK7_1050_003_004_RC,25.0,17.5,20.0,Assay
154663A,SUK7_1050_003_004_RC,25.0,17.5,20.0,LS
